 TIME                                   	SERIAL                                  	
  +4.3500000000000000E+01	  +4.5659812500000000E+04	
  +4.3750000000000000E+01	  +4.5659822916666664E+04	
  +4.4000000000000000E+01	  +4.5659833333333336E+04	
  +4.4250000000000000E+01	  +4.5659843750000000E+04	
  +4.4500000000000000E+01	  +4.5659854166666664E+04	
  +4.4750000000000000E+01	  +4.5659864583333336E+04	
  +4.5000000000000000E+01	  +4.5659875000000000E+04	
  +4.5250000000000000E+01	  +4.5659885416666664E+04	
  +4.5500000000000000E+01	  +4.5659895833333336E+04	
  +4.5750000000000000E+01	  +4.5659906250000000E+04	
  +4.6000000000000000E+01	  +4.5659916666666664E+04	
  +4.6250000000000000E+01	  +4.5659927083333336E+04	
  +4.6500000000000000E+01	  +4.5659937500000000E+04	
  +4.6750000000000000E+01	  +4.5659947916666664E+04	
  +4.7000000000000000E+01	  +4.5659958333333336E+04	
  +4.7250000000000000E+01	  +4.5659968750000000E+04	
  +4.7500000000000000E+01	  +4.5659979166666664E+04	
  +4.7750000000000000E+01	  +4.5659989583333336E+04	
  +4.8000000000000000E+01	  +4.5660000000000000E+04	
  +4.8250000000000000E+01	  +4.5660010416666664E+04	
  +4.8500000000000000E+01	  +4.5660020833333336E+04	
  +4.8750000000000000E+01	  +4.5660031250000000E+04	
  +4.9000000000000000E+01	  +4.5660041666666664E+04	
  +4.9250000000000000E+01	  +4.5660052083333336E+04	
  +4.9500000000000000E+01	  +4.5660062500000000E+04	
  +4.9750000000000000E+01	  +4.5660072916666664E+04	
  +5.0000000000000000E+01	  +4.5660083333333336E+04	
  +5.0250000000000000E+01	  +4.5660093750000000E+04	
  +5.0500000000000000E+01	  +4.5660104166666664E+04	
  +5.0750000000000000E+01	  +4.5660114583333336E+04	
  +5.1000000000000000E+01	  +4.5660125000000000E+04	
  +5.1250000000000000E+01	  +4.5660135416666664E+04	
  +5.1500000000000000E+01	  +4.5660145833333336E+04	
  +5.1750000000000000E+01	  +4.5660156250000000E+04	
  +5.2000000000000000E+01	  +4.5660166666666664E+04	
  +5.2250000000000000E+01	  +4.5660177083333336E+04	
  +5.2500000000000000E+01	  +4.5660187500000000E+04	
  +5.2750000000000000E+01	  +4.5660197916666664E+04	
  +5.3000000000000000E+01	  +4.5660208333333336E+04	
  +5.3250000000000000E+01	  +4.5660218750000000E+04	
  +5.3500000000000000E+01	  +4.5660229166666664E+04	
  +5.3750000000000000E+01	  +4.5660239583333336E+04	
  +5.4000000000000000E+01	  +4.5660250000000000E+04	
  +5.4250000000000000E+01	  +4.5660260416666664E+04	
  +5.4500000000000000E+01	  +4.5660270833333336E+04	
  +5.4750000000000000E+01	  +4.5660281250000000E+04	
  +5.5000000000000000E+01	  +4.5660291666666664E+04	
  +5.5250000000000000E+01	  +4.5660302083333336E+04	
  +5.5500000000000000E+01	  +4.5660312500000000E+04	
  +5.5750000000000000E+01	  +4.5660322916666664E+04	
  +5.6000000000000000E+01	  +4.5660333333333336E+04	
  +5.6250000000000000E+01	  +4.5660343750000000E+04	
  +5.6500000000000000E+01	  +4.5660354166666664E+04	
  +5.6750000000000000E+01	  +4.5660364583333336E+04	
  +5.7000000000000000E+01	  +4.5660375000000000E+04	
  +5.7250000000000000E+01	  +4.5660385416666664E+04	
  +5.7500000000000000E+01	  +4.5660395833333336E+04	
  +5.7750000000000000E+01	  +4.5660406250000000E+04	
  +5.8000000000000000E+01	  +4.5660416666666664E+04	
  +5.8250000000000000E+01	  +4.5660427083333336E+04	
  +5.8500000000000000E+01	  +4.5660437500000000E+04	
